Date,Price,Volatility,Profit,Equity,Price
1/1/2023,GS,0.22,2000,33.40816327,491.1
1/2/2023,GS,0.05,4000,32.08300654,490.87
1/3/2023,GS,0.18,77000,25.96202532,410.2
1/4/2023,GS,0.21,58000,28.5212766,402.15
1/5/2023,GS,0.14,76000,26.732,400.98
1/6/2023,GS,0.06,12000,25.58726115,401.72
1/7/2023,GS,0.03,11000,26.89933775,406.18
1/8/2023,GS,0.25,79000,29.89785714,418.57
1/9/2023,GS,0.10,22000,29.15138889,419.78
1/10/2023,GS,0.21,57000,29.212,438.18
1/1/2023,F,0.25,78000,0.949579832,10.17
1/2/2023,F,0.11,9000,0.981834696,10.81
1/3/2023,F,0.23,38000,0.892952721,10.01
1/4/2023,F,0.20,29000,0.914893617,9.89
1/5/2023,F,0.09,25000,0.885245902,9.72
1/6/2023,F,0.15,21000,0.826086957,9.12
1/7/2023,F,0.05,13000,0.93655303,9.89
1/8/2023,F,0.02,80000,0.9589169,10.27
1/9/2023,F,0.15,27000,1.185013876,12.81
1/10/2023,F,0.17,68000,1.175586854,12.52
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
